name,value,date
A,1,01-01
B,2,01-01
C,3,01-01
D,20,01-01
E,5,01-01
F,6,01-01
G,7,01-01
H,8,01-01
I,9,01-01
J,10,01-01
K,11,01-01
L,12,01-01
A,13,01-02
B,14,01-02
C,15,01-02
D,16,01-02
E,3,01-02
F,18,01-02
G,19,01-02
H,20,01-02
I,21,01-02
J,22,01-02
K,23,01-02
L,24,01-02
A,25,01-03
B,26,01-03
C,27,01-03
D,67,01-03
E,29,01-03
F,30,01-03
G,31,01-03
H,32,01-03
I,33,01-03
J,34,01-03
K,35,01-03
L,36,01-03
A,2,01-04
B,6,01-04
C,15,01-04
D,12,01-04
E,7,01-04
F,9,01-04
G,13,01-04
H,17,01-04
I,1,01-04
J,4,01-04
K,8,01-04
L,3,01-04
A,7,01-05
B,13,01-05
C,6,01-05
D,14,01-05
E,9,01-05
F,25,01-05
G,17,01-05
H,23,01-05
I,24,01-05
J,12,01-05
K,16,01-05
L,8,01-05
A,7,01-06
B,13,01-06
C,6,01-06
D,14,01-06
E,9,01-06
F,25,01-06
G,17,01-06
H,23,01-06
I,24,01-06
J,12,01-06
K,16,01-06
L,8,01-06
A,1,01-07
B,2,01-07
C,3,01-07
D,20,01-07
E,5,01-07
F,6,01-07
G,7,01-07
H,8,01-07
I,9,01-07
J,10,01-07
K,11,01-07
L,12,01-07
