name,value,date
朱一龙,47957,2018-10-01
朱一龙,38051,2018-10-02
朱一龙,38027,2018-10-03
朱一龙,33330,2018-10-04
朱一龙,34096,2018-10-05
朱一龙,32511,2018-10-06
朱一龙,28118,2018-10-07
朱一龙,24207,2018-10-08
朱一龙,22622,2018-10-09
朱一龙,20491,2018-10-10
朱一龙,20957,2018-10-11
朱一龙,22394,2018-10-12
朱一龙,23532,2018-10-13
朱一龙,24268,2018-10-14
朱一龙,20122,2018-10-15
朱一龙,29498,2018-10-16
朱一龙,22894,2018-10-17
朱一龙,24370,2018-10-18
朱一龙,23207,2018-10-19
朱一龙,23493,2018-10-20
朱一龙,23317,2018-10-21
朱一龙,20772,2018-10-22
朱一龙,19842,2018-10-23
朱一龙,38971,2018-10-24
朱一龙,24416,2018-10-25
朱一龙,21343,2018-10-26
朱一龙,20439,2018-10-27
朱一龙,19550,2018-10-28
朱一龙,17259,2018-10-29
朱一龙,17045,2018-10-30
朱一龙,16373,2018-10-31
朱一龙,16028,2018-11-01
朱一龙,16468,2018-11-02
朱一龙,16950,2018-11-03
朱一龙,20630,2018-11-04
朱一龙,18745,2018-11-05
朱一龙,20430,2018-11-06
朱一龙,17549,2018-11-07
朱一龙,15935,2018-11-08
朱一龙,14558,2018-11-09
朱一龙,14703,2018-11-10
朱一龙,15082,2018-11-11
朱一龙,15669,2018-11-12
朱一龙,14935,2018-11-13
朱一龙,15453,2018-11-14
朱一龙,16365,2018-11-15
朱一龙,17193,2018-11-16
朱一龙,18210,2018-11-17
朱一龙,16915,2018-11-18
朱一龙,16267,2018-11-19
朱一龙,15254,2018-11-20
朱一龙,16909,2018-11-21
朱一龙,16226,2018-11-22
朱一龙,15857,2018-11-23
朱一龙,16875,2018-11-24
朱一龙,19004,2018-11-25
朱一龙,17241,2018-11-26
朱一龙,16085,2018-11-27
朱一龙,15639,2018-11-28
朱一龙,14612,2018-11-29
朱一龙,15291,2018-11-30
朱一龙,17569,2018-12-01
朱一龙,16825,2018-12-02
朱一龙,15685,2018-12-03
朱一龙,17301,2018-12-04
朱一龙,18107,2018-12-05
朱一龙,17823,2018-12-06
朱一龙,17032,2018-12-07
朱一龙,16691,2018-12-08
朱一龙,16444,2018-12-09
朱一龙,14903,2018-12-10
朱一龙,16409,2018-12-11
朱一龙,21351,2018-12-12
朱一龙,21192,2018-12-13
朱一龙,18945,2018-12-14
朱一龙,18831,2018-12-15
朱一龙,17475,2018-12-16
朱一龙,17257,2018-12-17
朱一龙,19488,2018-12-18
朱一龙,19288,2018-12-19
朱一龙,19379,2018-12-20
朱一龙,18725,2018-12-21
朱一龙,20040,2018-12-22
朱一龙,20476,2018-12-23
朱一龙,17671,2018-12-24
朱一龙,24976,2018-12-25
朱一龙,36307,2018-12-26
朱一龙,51077,2018-12-27
朱一龙,54115,2018-12-28
朱一龙,52650,2018-12-29
杨幂,30307,2018-10-01
杨幂,28780,2018-10-02
杨幂,29632,2018-10-03
杨幂,29080,2018-10-04
杨幂,28680,2018-10-05
杨幂,31664,2018-10-06
杨幂,26634,2018-10-07
杨幂,20347,2018-10-08
杨幂,20067,2018-10-09
杨幂,19063,2018-10-10
杨幂,20068,2018-10-11
杨幂,24165,2018-10-12
杨幂,30058,2018-10-13
杨幂,37664,2018-10-14
杨幂,30776,2018-10-15
杨幂,127468,2018-10-16
杨幂,40724,2018-10-17
杨幂,29605,2018-10-18
杨幂,31270,2018-10-19
杨幂,35543,2018-10-20
杨幂,34565,2018-10-21
杨幂,25911,2018-10-22
杨幂,30052,2018-10-23
杨幂,25661,2018-10-24
杨幂,27202,2018-10-25
杨幂,27198,2018-10-26
杨幂,29991,2018-10-27
杨幂,51332,2018-10-28
杨幂,29935,2018-10-29
杨幂,25210,2018-10-30
杨幂,25793,2018-10-31
杨幂,23942,2018-11-01
杨幂,23632,2018-11-02
杨幂,27714,2018-11-03
杨幂,27599,2018-11-04
杨幂,21543,2018-11-05
杨幂,22065,2018-11-06
杨幂,22417,2018-11-07
杨幂,23835,2018-11-08
杨幂,23399,2018-11-09
杨幂,25023,2018-11-10
杨幂,24001,2018-11-11
杨幂,20398,2018-11-12
杨幂,19856,2018-11-13
杨幂,20754,2018-11-14
杨幂,21240,2018-11-15
杨幂,22772,2018-11-16
杨幂,28455,2018-11-17
杨幂,28214,2018-11-18
杨幂,22057,2018-11-19
杨幂,22373,2018-11-20
杨幂,22477,2018-11-21
杨幂,23210,2018-11-22
杨幂,22682,2018-11-23
杨幂,26821,2018-11-24
杨幂,27924,2018-11-25
杨幂,22019,2018-11-26
杨幂,23407,2018-11-27
杨幂,28982,2018-11-28
杨幂,25826,2018-11-29
杨幂,25234,2018-11-30
杨幂,32804,2018-12-01
杨幂,31882,2018-12-02
杨幂,29177,2018-12-03
杨幂,27586,2018-12-04
杨幂,29498,2018-12-05
杨幂,25453,2018-12-06
杨幂,24860,2018-12-07
杨幂,32981,2018-12-08
杨幂,30508,2018-12-09
杨幂,23882,2018-12-10
杨幂,22191,2018-12-11
杨幂,21402,2018-12-12
杨幂,23980,2018-12-13
杨幂,24496,2018-12-14
杨幂,30055,2018-12-15
杨幂,28938,2018-12-16
杨幂,24574,2018-12-17
杨幂,26296,2018-12-18
杨幂,25856,2018-12-19
杨幂,28876,2018-12-20
杨幂,37665,2018-12-21
杨幂,605726,2018-12-22
杨幂,607983,2018-12-23
杨幂,252989,2018-12-24
杨幂,145201,2018-12-25
杨幂,113554,2018-12-26
杨幂,100151,2018-12-27
杨幂,83884,2018-12-28
杨幂,75627,2018-12-29
赵丽颖,41626,2018-10-01
赵丽颖,46057,2018-10-02
赵丽颖,57603,2018-10-03
赵丽颖,47437,2018-10-04
赵丽颖,45903,2018-10-05
赵丽颖,44952,2018-10-06
赵丽颖,41475,2018-10-07
赵丽颖,30423,2018-10-08
赵丽颖,40201,2018-10-09
赵丽颖,41996,2018-10-10
赵丽颖,67142,2018-10-11
赵丽颖,57249,2018-10-12
赵丽颖,60198,2018-10-13
赵丽颖,52759,2018-10-14
赵丽颖,44186,2018-10-15
赵丽颖,3784274,2018-10-16
赵丽颖,666781,2018-10-17
赵丽颖,265967,2018-10-18
赵丽颖,223029,2018-10-19
赵丽颖,208305,2018-10-20
赵丽颖,142649,2018-10-21
赵丽颖,97314,2018-10-22
赵丽颖,79327,2018-10-23
赵丽颖,72119,2018-10-24
赵丽颖,66294,2018-10-25
赵丽颖,69277,2018-10-26
赵丽颖,78405,2018-10-27
赵丽颖,90145,2018-10-28
赵丽颖,56104,2018-10-29
赵丽颖,45354,2018-10-30
赵丽颖,43073,2018-10-31
赵丽颖,44527,2018-11-01
赵丽颖,53305,2018-11-02
赵丽颖,64232,2018-11-03
赵丽颖,57281,2018-11-04
赵丽颖,36536,2018-11-05
赵丽颖,35482,2018-11-06
赵丽颖,34621,2018-11-07
赵丽颖,33056,2018-11-08
赵丽颖,36375,2018-11-09
赵丽颖,52735,2018-11-10
赵丽颖,55247,2018-11-11
赵丽颖,54956,2018-11-12
赵丽颖,69484,2018-11-13
赵丽颖,67301,2018-11-14
赵丽颖,70701,2018-11-15
赵丽颖,77003,2018-11-16
赵丽颖,96699,2018-11-17
赵丽颖,89835,2018-11-18
赵丽颖,66936,2018-11-19
赵丽颖,63020,2018-11-20
赵丽颖,71441,2018-11-21
赵丽颖,63186,2018-11-22
赵丽颖,80686,2018-11-23
赵丽颖,83373,2018-11-24
赵丽颖,73634,2018-11-25
赵丽颖,64650,2018-11-26
赵丽颖,73104,2018-11-27
赵丽颖,68380,2018-11-28
赵丽颖,62125,2018-11-29
赵丽颖,80919,2018-11-30
赵丽颖,80291,2018-12-01
赵丽颖,76845,2018-12-02
赵丽颖,57679,2018-12-03
赵丽颖,56834,2018-12-04
赵丽颖,56308,2018-12-05
赵丽颖,53431,2018-12-06
赵丽颖,51367,2018-12-07
赵丽颖,58314,2018-12-08
赵丽颖,57859,2018-12-09
赵丽颖,48611,2018-12-10
赵丽颖,43144,2018-12-11
赵丽颖,36505,2018-12-12
赵丽颖,39259,2018-12-13
赵丽颖,41592,2018-12-14
赵丽颖,51707,2018-12-15
赵丽颖,45845,2018-12-16
赵丽颖,34900,2018-12-17
赵丽颖,34294,2018-12-18
赵丽颖,34035,2018-12-19
赵丽颖,39659,2018-12-20
赵丽颖,41214,2018-12-21
赵丽颖,58168,2018-12-22
赵丽颖,64461,2018-12-23
赵丽颖,51163,2018-12-24
赵丽颖,49520,2018-12-25
赵丽颖,55466,2018-12-26
赵丽颖,56957,2018-12-27
赵丽颖,53819,2018-12-28
赵丽颖,54112,2018-12-29
周杰伦,18795,2018-10-01
周杰伦,15606,2018-10-02
